Name,County,Sites,FullstreetAddress,House district,Senate district
The Community of Rolling Hills, Calhoun ,343,"300 Morgan Road, Battle Creek, MI, 49017",44,18
Twin Pines MHC, Calhoun ,73,"2701 Calhoun Road, Albion, MI, 49224",44,17
Twin Valley Mobile Home Village, Calhoun ,36,"16555 F Drive South, Marshall, MI, 49068",45,18
Spruce Tree Mobile Home Community, Calhoun ,80,"14200 - 18 1/2 Mile Road, Marshall, MI, 49068",45,17
Bakers Mobile Home Park, Calhoun ,120,"1030 East Columbia Avenue, Battle Creek, MI, 49015",45,18
Valley Garden Trailer Park, Calhoun ,38,"897 East Michigan, Battle Creek, MI, 49017",45,18
Evergreen Oak Forest, Calhoun ,103,"20 Powell Street, Battle Creek, MI, 49014",45,18
Sunrise Mobile Home Court, Calhoun ,33,"15011 West Michigan Avenue, Marshall, MI, 49068",45,18
Harper Commons MHC, Calhoun ,,"993 East Michigan Avenue, Battle Creek, MI, 49014",45,18
Rainbow Estates Mobile Park, Calhoun ,,"875 East Michigan Avenue, Marshall, MI, 49068",45,18
Edwardsburg Estates, Cass ,109,"69425 M-62, Edwardsburg, MI, 49112",36,17
Colonial Acres Mobile Home Park, Cass ,108,"69205 Garver Lake, Edwardsburg, MI, 49112",36,17
Beech Grove, Cass ,,"51439 Michigan 40, Marcellus, MI, 49067",36,17
Bluegill Lake MHP, Cass ,39,"400 East South Street, Marcellus, MI, 49067",36,17
C&M Park, Cass ,26,"70710 Elkhart Rd., Edwardsburg, MI, 49112",36,17
Rustic Acres Mobile Home Park, Cass ,70,"19250 Stateline Road, Edwardsburg, MI, 49112",36,17
Wildwood Resort, Cass ,163,"23040 Phillips Road, Edwardsburg, MI, 49112",36,17
Simmons Mobile Home Park, Cass ,,"19311 Us Highway 12, Edwardsburg, MI, 49112",36,17
Maple Grove Trailer Court, Cass ,75,"59733 Decatur Road, Cassopolis, MI, 49031",36,17
North Wayne Estates, Cass ,10,"27139 Corwin Street, Dowagiac, MI, 49047",37,17
Rema Mobile Home Park, Cass ,92,"24050 North Shore Drive, Edwardsburg, MI, 49112",36,17
Linden Mobile Home Park, Cass ,,"19350 State Line Road, Edwardsburg, MI, 49112",36,17
Bay Shore Estates Mobile Home Park, Emmet ,83,"7463 Old Us Highway 31, Lot 24, Petoskey, MI, 49770",107,37
Charlevoix Estates, Charlevoix ,189,"6685 M 66 North, Charlevoix, MI, 49720",107,37
Lake Michigan Heights, Charlevoix ,108,"7400 Lakeview Drive, Charlevoix, MI, 49720",107,37
Sun Outdoors Petoskey Bay Harbor, Emmet ,78,"5505 Charlevoix Avenue, Petoskey, MI, 49770",107,37
Petoskey KOA, Emmet ,,"1800 North Us 31, Petoskey, MI, 49770",107,37
Harbor Springs Estates, Emmet ,68,"629 East Lake Street, Harbor Springs, MI, 49740",107,37
Mountain View Estates, Otsego ,42,"2225 Center Street, Boyne Falls, MI, 49713",107,37
Radio City Village, Emmet ,44,"1121 Lears Road, Petoskey, MI, 49770",107,37
Chalet Estates, Emmet ,41,"5669 Pickerel Lake Road, Petoskey, MI, 49770",107,37
Huron Estates, Wayne ,806,"22000 Inkster Road, Romulus, MI, 48174",29,4
Town & Country Mobile Home Park, Presque Isle ,,"2653 Vanyea Road, Cheboygan, MI, 49721",106,37
Indian River Mobile Home Park, Cheboygan ,,"5144 South Straits Highway, Indian River, MI, 49749",106,37
Indian Village Park, Cheboygan ,,"4726 Lanai Drive, Indian River, MI, 49749",106,37
Larry's Trailer Court, Presque Isle ,,"10692 North Black River Road, Cheboygan, MI, 49721",106,37
Conway Commons, Emmet ,90,"2959 Oden Rd, Alanson, MI, 49706",107,37
Conway Commons, Emmet ,90,"8523 Park Way, Alanson, MI, 49706",107,37
Alanson Estates Noble Homes, Emmet ,30,"6760 Us 31 North, Alanson, MI, 49706",107,37
El Rancho Alanson RV Resort, Emmet ,137,"6712 San Juan, Alanson, MI, 49706",107,37
Shady Grove Village, Presque Isle ,,"4128 Michigan, Onaway, MI, 49765",106,36
Lake Superior Estates, Luce ,225,"102 East 25th Avenue, Sault Sainte Marie, MI, 49783",107,37
Blair Hastings Park Lake Superior State, Mackinac ,,"1000 College Drive, Sault Sainte Marie, MI, 49783",107,37
L & M Trailer Court, Luce ,133,"1804 West 18th Street, Sault Sainte Marie, MI, 49783",107,37
Riverside Mobile Home Village, Mackinac ,60,"2210 Riverside Drive, Sault Sainte Marie, MI, 49783",107,37
Fornicola Trailer Park, Mackinac ,,"2501 Ashmun Street, Sault Sainte Marie, MI, 49783",107,37
Great Northern Mobile Home Park, Luce ,,"M-28 Highway, Newberry, MI, 49868",109,38
Meadows of Farwell, Clare ,48,"551 Grace Street, Farwell, MI, 48622",100,34
Pleasant Valley Mobile Home Park, Clare ,,"600 West 5th Street, Clare, MI, 48617",100,34
Cedar Shores, Missaukee ,,"5916 Cedar Shores, Harrison, MI, 48625",100,34
Hidden Hill Family Campground, Missaukee ,55,"300 North Clare, Harrison, MI, 48625",100,34
Harrison Estates, Missaukee ,50,"2600 Mostetler Road, Harrison, MI, 48625",100,34
Beech Tree Estates, Clare ,,"7413 North Nottawa Road, Farwell, MI, 48622",92,34
Loomis Resort, Osceola ,,"10585 Rock Road, Lake, MI, 48632",100,34
Luke's Trailer Park, Clare ,,"705 S Rainbow Dr, Clare, MI, 48617",100,34
Parkers Trailer Park, Missaukee ,,"3100 Long Lake Road, Harrison, MI, 48625",100,34
Ruby's Mobile Home Park, Clare ,,"10600 South Clare Avenue, Clare, MI, 48617",100,34
Withii Trailer Park, Missaukee ,,"1820 Hampton Road, Harrison, MI, 48625",100,34
King Arthur's Court, Clinton ,425,"2201 East State Road, Lansing, MI, 48906",77,28
Capital Crossings, Clinton ,275,"13531 Declaration Court, Eagle, MI, 48822",77,28
Cadgewith Farms, Clinton ,228,"2300 East State Road, Lansing, MI, 48906",77,28
Valley Estates, Ingham ,148,"16751 Turner Road, Lansing, MI, 48906",77,28
The Meadows of St Johns, Clinton ,216,"2265 W Parks Rd - Lot #1, Saint Johns, MI, 48879",75,28
Quiet Cove, Shiawassee ,43,"12675 Colby Lake Road, Laingsburg, MI, 48848",75,28
Kristana Mobile Home Park, Clinton ,165,"1110 East Coleman Road, Lansing, MI, 48906",75,28
Maple Leaf Community, Shiawassee ,76,"8701 East M-21, Ovid, MI, 48866",71,28
Saint Johns Estates, Clinton ,112,"609 North Morton Street, Saint Johns, MI, 48879",75,28
Moon Lake Mobile Home Park, Shiawassee ,92,"12700 South Colby Lake Road, Laingsburg, MI, 48848",75,28
Maple Valley Subdivision, Shiawassee ,35,"Meridian Road - Po Box 135, Ovid, MI, 48866",75,28
Westphalia Mobile Home Court, Clinton ,8,"13606 Jason Rd, Westphalia, MI, 48894",77,28
Park Lake Mobile Home Court, Clinton ,48,"6335 Park Lake Road, Bath, MI, 48808",75,28
Crosswinds Mobile Home Park, Clinton ,90,"14073 South Us Highway 27, Dewitt, MI, 48820",77,28
Hartwick Pines Mobile Home Estates, Oscoda ,52,"4869 Brighton Circle, Grayling, MI, 49738",105,36
Grayling Mobile Home Estates, Oscoda ,163,"North Down River Road, Grayling, MI, 49738",105,36
Timberly Village, Oscoda ,,"243 Woodlawn Boulevard, Grayling, MI, 49738",105,36
Aspen Village, Otsego ,204,"204 Aspen Commons Drive, Gaylord, MI, 49735",105,36
Nottingham Forest, Otsego ,74,"1665 West M-32, Gaylord, MI, 49735",105,36
Sunset Estates of Gaylord LLC, Otsego ,20,"7346 Old 27 Hwy South, Vanderbilt, MI, 49795",105,36
Higgins Lake East Campground and Mobile Home Park, Roscommon ,,"2380 West Burdell Road, Roscommon, MI, 48653",105,36
Higgins Lake Hide-a-way Mobile Home Park, Roscommon ,,"6059 West Higgins Lake Drive, Higgins Lake, MI, 48627",105,36
Log Haven Mobile Home Park, Otsego ,,"273 Randolph Street, Gaylord, MI, 49735",105,36
Wagon Wheel Estates, Roscommon ,,"2720 West Higgins Lake Road, Roscommon, MI, 48653",105,36
Woodland Estates, Kalamazoo ,348,"4797 South 4th Street, Kalamazoo, MI, 49009",40,19
Fair View Estates, Delta ,,"1401 North 23rd Street, Escanaba, MI, 49829",108,38
White Birch Village, Iron ,249,"W8079 S Us Hwy 2/141, Iron Mountain, MI, 49801",110,38
Park Ridge, Iron ,94,"1300 Michigan Avenue, Office, Iron Mountain, MI, 49801",110,38
Rivers Bend Mobile Park, Iron ,51,"N3905 Pine Mountain Rd, Iron Mountain, MI, 49801",110,38
Kensington Meadows, Ingham ,290,"4245 West Jolly Road, Lansing, MI, 48911",76,21
Windsor Estates, Eaton ,470,"6661 Canal Road, Dimondale, MI, 48821",76,21
Eaton Pine Village, Eaton ,147,"458 Eaton Pines Blvd, Eaton Rapids, MI, 48827",76,21
Butternut Creek, Eaton ,30,"801 Packard Highway, Charlotte, MI, 48813",76,21
Grand Ledge Ravines, Eaton ,218,"855 West Jefferson Street, Grand Ledge, MI, 48837",77,21
Park Terrace MHC, Eaton ,158,"3435 West Saint Joseph Street, Lansing, MI, 48917",77,21
Century Park, Eaton ,230,"215 North Canal Road, Lansing, MI, 48917",76,21
Maple Knoll Mobile Home Community, Eaton ,49,"1716 E Lansing Road, Charlotte, MI, 48813",76,21
Mill Pond an FR Community, Ingham ,356,"1500 Old Mill Lane, Lansing, MI, 48911",74,21
Stonegate, Ingham ,278,"2700 Eaton Rapids, Lansing, MI, 48911",74,21
Country Village, Eaton ,100,"7781 West Grand River Highway, Grand Ledge, MI, 48837",77,28
Grand Oaks Village, Eaton ,168,"817 North Clinton Street, Grand Ledge, MI, 48837",77,21
Hi-Way Mobile Haven, Eaton ,67,"2600 Lansing Road, Charlotte, MI, 48813",76,21
Independence Commons, Eaton ,340,"1776 Constitution Circle, Potterville, MI, 48876",76,21
Meadows Mobile Home Park, Gratiot ,93,"411 South Grover Street, Alma, MI, 48801",92,34
Valley Springs Mobile Home Park, Eaton ,81,"4723 Hartel Road, Potterville, MI, 48876",76,21
Belle Vista Mobile Home Park, Eaton ,206,"509 Belle Vista Drive, Bellevue, MI, 49021",43,21
Bellevue Mobile Home Park, Eaton ,76,"23951 15 Mile Road, Bellevue, MI, 49021",44,18
Hickory Haven Mobile Home Park, Eaton ,27,"420 Haven Street, Eaton Rapids, MI, 48827",76,21
Lawrence Manor Mobile Home Park, Eaton ,30,"629 West Lawrence Avenue, Charlotte, MI, 48813",76,21
Riverwood, Eaton ,,"501 South Jefferson St, Bellevue, MI, 49021",43,21
Pineview Estates, Genesee ,1011,"6152 N. Genesee Rd., Flint, MI, 48506",67,26
Broadview Estates, Genesee ,497,"4250 North State Road, Davison, MI, 48423",67,26
Cider Mill Crossings, Genesee ,327,"9900 Townsquare Boulevard, Fenton, MI, 48430",50,22
Maple Run, Genesee ,145,"2000 Maple Run Boulevard, Clio, MI, 48420",97,26
Fisherman's Cove, Genesee ,162,"4441 Jena Lane, Flint, MI, 48507",70,27
Pine Ridge, Genesee ,195,"9348 Silver Lake Road, Linden, MI, 48451",71,22
Tyrone Woods Manufactured Home Community, Genesee ,403,"8378 Hogan Rd, Fenton, MI, 48430",72,22
Creek Wood, Genesee ,336,"3440 Creekside Boulevard, Burton, MI, 48519",68,27
Green Briar Community, Genesee ,345,"4070 Green Briar Boulevard, Burton, MI, 48529",70,27
Timber Heights, Genesee ,221,"1168 N. Oak Rd., Davison, MI, 48423",68,26
Hawaiian Gardens/Holly Village, Oakland ,233,"4261 Grange Hall Road Site 1B, Holly, MI, 48442",72,22
Swartz Creek Estates, Genesee ,176,"73 Ashley Circle, Swartz Creek, MI, 48473",69,27
Grand Blanc Crossing, Genesee ,478,"8225 Embury Road, Grand Blanc, MI, 48439",68,27
Lake Fenton Estates, Genesee ,135,"11429 Harbor Cove Drive, Fenton, MI, 48430",72,22
South Valley Estates, Genesee ,116,"37 Bellwood Drive, Swartz Creek, MI, 48473",69,27
Highlands Estates, Genesee ,635,"2197 East Mount Morris Road, Mount Morris, MI, 48458",67,26
Flushing Estates, Genesee ,279,"7416 Gillette Road, Flushing, MI, 48433",69,27
Linden Place, Genesee ,162,"4192 South Linden Road, Flint, MI, 48507",69,27
Swartz Creek Meadows, Genesee ,584,"4101 Sheridan Road, Lennon, MI, 48449",69,27
