DBA,Owner / Community_Name,Location_Address,County,Total_#_Sites,House district,Senate district
RILEYS MOBILE HOME COURT,"YOUNG PROPERTY MANAGEMENT, INC","3700 NORTH HILLSDALE ROAD, HILLSDALE, MI 49242",HILLSDALE,28,35,16
EVERGREEN ESTATES MOBILE HOME PARK,RRR ENTERPRISES LLC,"532 WEST CHICAGO ROAD, JONESVILLE, MI 49250",HILLSDALE,108,35,16
,"CRYSTAL DOWNS MHC, LLC","2701 CRYSTAL LAKE ROAD, WHITEHALL, MI 49461",MUSKEGON,104,102,32
,"OAKWOOD HEIGHTS MOBILE HOME PARK, LTD","1625 VINECROFT NW, GRAND RAPIDS, MI 49504",KENT,43,84,30
GLEN-AIRE MOBILE HOME PARK,"GLEN-AIRE, LLC","1153 WEST GLENLORD ROAD, ST. JOSEPH, MI 49085",BERRIEN,130,38,20
NORTH SHORES ESTATES MOBILE HOME PARK,THE RADA GROUP LLC,"1565 M-63 NORTH #33, BENTON HARBOR, MI 49022",BERRIEN,99,38,20
,LAKESHORE ESTATES MHC LLC,"3017 JOHNSON RD, STEVENSVILLE, MI 49127",BERRIEN,106,38,20
,THE VILLAGE GREEN OF GRAND HAVEN LLC,"1700 ROBBINS RD. #301, GRAND HAVEN, MI 49417",OTTAWA,391,88,31
LOMBARDINI TRAILER PARK,ROBERT L LOMBARDINI,"1228 M-89 WEST, PLAINWELL, MI 49080",ALLEGAN,50,42,18
BROOMFIELD VALLEY MOBILE HOME PARK,TED LUEDER,"6553 WEST REMUS ROAD, MT. PLEASANT, MI 48858",ISABELLA,127,92,34
FRENCHTOWN VILLA,"R E FUND NEWPORT, LLC","1250 PAREE AVENUE, NEWPORT, MI 48166",MONROE,749,28,16
CLARKSTON LAKES MOBILE HOME COMMUNITY,C LAKE CLARKSTON ASSOCIATES,"4260 DOGWOOD BOULEVARD, CLARKSTON, MI 48016",OAKLAND,498,66,24
MAPLE HILL VILLAGE,MAPLE HILL MOBILE HOME PARK LLC,"100 MAPLE HILL, HARTFORD MI 49057",VAN BUREN,99,39,20
COUNTRY VILLAGE MHP,HEMLOCK HOLDINGS LLC,"14624 32ND AVENUE, MARNE, MI 49435",OTTAWA,31,89,30
,WOLF LAKE ESTATES,"24054 M-43 HWY, MATTAWAN MI 49071",VAN BUREN,41,39,20
COUNTRYSIDE MOBILE PARK,"LMCO, INC","191 NORTH FILLMORE ROAD, COLDWATER, MI 49036",BRANCH,24,35,17
,MITCHELL BROS MOBILE HOME PARK,"03750 67TH STREET, SOUTH HAVEN, MI 49090",VAN BUREN,49,39,20
KEY HEIGHTS VILLAGE,"LOWELL MHP, LLC","11335 EAST FULTON, LOWELL, MI 49331",KENT,286,78,18
,KENT CITY MHC LLC,"135 SOUTH MAIN, KENT CITY, MI 49330",KENT,74,89,33
EAGLE LAKE ESTATES MOBILE HOME PARK,REMA VILLAGE MOBILE HOME PARK LTD,"24050 NORTH SHORE DR #93, EDWARDSBURG MI 49112",CASS,92,36,17
