DBA,Owner / Community_Name,Location_Address,County,Total_#_Sites,House district,Senate district
PRESCOTT COMMUNITY,YES PRESCOTT LLC,"7283 DIVISION AVENUE SOUTH, GRAND RAPIDS MI 49548",KENT,178,83,20
,"BC COACHVILLE PROPERTY, LLC","3423 CARPENTER ROAD, YPSILANTI MI 48197",WASHTENAW,121,33,15
,"BC OAKRIDGE PROPERTY, LLC","6447 EAST DUNBAR RD, MONROE MI 48161",Monroe,620,30,16
,"BC RAISIN RIDGE PROPERY, LLC","3955 SOUTH CUSTER ROAD, MONROE MI 48161",MONROE,319,31,16
,MC SCIENCE CITY PROPERTY LLC,"3823 BAY CITY ROAD, MIDLAND MI 48642",MIDLAND,173,95,35
BELLE VILLA MEADOWS,"YES BELLE VILLA MEADOWS, LLC","955 SUMPTER ROAD, BELLEVILLE MI 48111",WAYNE,246,31,4
BELLE VILLA LAKE,"YES BELLE VILLA LAKES, LLC","955 SUMPTER ROAD, BELLEVILLE MI 48111",WAYNE,176,31,4
,MC CANTERBURY PROPERTY LLC,"360 E TUTTLE ROAD, IONIA MI 48846",IONIA,290,78,33
CLINTON RIVER COMMUNITY,"CLINTON RIVER TITLEHOLDER, LLC","4125 RIVERVIEW CIRCLE, MT CLEMENS MI 48083",MACOMB,132,61,12
WALNUT RIDGE COMMUNITY,WALNUT RIDGE TITLEHOLDER LLC,"3001 PARNALL ROAD, JACKSON MI 49201",JACKSON,299,46,14
MEADOW CREEK COMMUNITY,MEADOW CREEK TITLEHOLDER LLC,"58701 MEADOW CREEK BLVD, NEW HAVEN MI 48048",MACOMB,433,65,25
RIVERBROOK COMMUNITY,"RIVERBROOK TITLEHOLDER, LLC","59477 HARDY LANE, NEW HAVEN MI 48048",MACOMB,390,65,25
SPRINGROVE COMMUNITY,SPRINGROVE TITLEHOLDER LLC,"10771 DIXIE HIGHWAY, DAVISBURG MI 48350",OAKLAND,424,52,23
THE RESERVE COMMUNITY,"THE RESERVE TITLEHOLDER, LLC","3977 SHERWOOD LAKES BLVD, JACKSON MI 49201",JACKSON,414,46,14
SHAWNEE MHC,"YES COMPANIES FRED, LLC","1558 WEST SHAWNEE ROAD, BARODA MI 49101",BERRIEN,161,37,17
,MT PLEASANT MOBILE VILLAGE LLC,"505 S BRADLEY, MT PLEASANT MI 48858",ISABELLA,144,92,34
,MC HOWELL ESTATES PROPERTY LLC,"515 MASON ROAD, HOWELL MI 48843",LIVINGSTON,458,50,22
,MC OAK HILL PROPERTY LLC,"9626 OAKHILL ROAD, HOLLY MI 48442",OAKLAND,504,52,23
VALLEY GARDEN ESTATES,PCI CALHOUN/CLINTON LLC,"897 MICHIGAN AVE E, BATTLE CREEK MI 49017",CALHOUN,86,45,18
,HUNTSVILLE MHP INC.,"SOUTH DOERR ROAD, CASS CITY MI 48726",TUSCOLA,78,98,25
WOODLAND RIDGE COMMUNITY,WOODLAND RIDGE TITLEHOLDER LLC,"12250 WOODLAND RIDGE CIRCLE, SOUTH LYON MI 48178",LIVINGSTON,561,49,22
SAGINAW VALLEY,YES COMPANIES FRED LLC,"6160 DAVIS ROAD, SAGINAW MI 48604",SAGINAW,179,97,35
THE POINT,HUNTSVILLE MHP INC.,"DIVISION STREET, CASS CITY MI 48726",TUSCOLA,29,98,25
,BC VAN BUREN PROPERTY LLC,"16800 LOHR ROAD, BELLEVILLE MI 48111",WAYNE,310,31,4
,BC BELLEVILLE MANOR PROPERTY LLC,"8701 BELLEVILLE ROAD, BELLEVILLE MI 48111",WAYNE,358,31,4
,MC PINEWOOD PROPERTY LLC,"2109 REDWOOD AVE, COLUMBUS MI 48063",ST CLAIR,380,65,25
INDEPENDENCE COMMONS COMMUNITY,INDEPENDENCE COMMONS TITLEHOLDER LLC,"1776 CONSTITUTION CIRCLE, POTTERVILLE MI 48876",EATON,380,76,21
,"BC PLEASANTVILLE PROPERTY, LLC","1045 NADEAU ROAD, MONROE MI 48162",MONROE,152,28,16
,"BC MOHAWK PROPERTY, LLC","28495 JOY ROAD, WESTLAND MI 48185",WAYNE,105,25,5
COUNTRYSIDE ESTATES,RANDY ROYSTON,"3200 WEST LAWRENCE HWY, CHARLOTTE MI 48813",EATON,4,76,21
,WHISPERING PINES II INC.,"1200 SOUTH WASHINGTON STREET, CONSTANTINE MI 49042",ST JOSEPH,144,36,17
LAWNDALE ESTATES MOBILE HOME COMMUNITY,YES LAWNDALE LLC,"4509 LONGMEADOW BLVD W, SAGINAW MI 48603",SAGINAW,672,93,35
OAKBROOK ESTATES II,"MI 4004 DOUGLAS AVE KALAMAZOO, LLC","4002 DOUGLAS AVE, KALAMAZOO MI 49007",Kalamazoo,48,41,19
PINE GROVE MHP,MASC PROPERTIES LLC,"28312 MICHIGAN AVENUE, INKSTER MI 48141",WAYNE,45,26,5
,PINE TERRACE MOBILE HOME ESTATES LP,"2236 VAN DYKE, MARLETTE MI 48453",SANILAC,56,98,25
ST JOHNS ESTATES,PCI CALHOUN/CLINTON LLC,"690 NORTH MORTON, ST JOHNS MI 48879",CLINTON,112,75,28
ORCHARDVIEW ESTATES,"PCI WEST MICHIGAN, LLC","1200 E EMPIRE AVE, BENTON HARBOR MI 49022",BERRIEN,131,38,20
,BAY VILLAGE MHC LLC,"1274 HAMPTON ROAD, ESSEXVILLE MI 48732",BAY,102,96,35
,UNIVERSITY MOBILE ESTATES LLC,"11870 HEIDELBERG LANE, WHITMORE LAKE MI 48189",LIVINGSTON,55,49,22
,UNIVERSITY MOBILE ESTATES LLC,"11757 CAPPY LANE, WHITMORE LAKE MI 48189",LIVINGSTON,14,49,22
COUNTRY MANOR ESTATES,COUNTRY MANOR MANAGEMENT LLC,"18500 NORTHLAND DR, BIG RAPIDS MI 49307",MECOSTA,76,100,34
,GREENLAWN MOBILE HOME COURT LLC,"2725 E FOREST, ROTHBURY MI 49452",OCEANA,40,102,32
SEAWAY RANCH MHC,SEAWAY PARTNERS LLC,"50 MACK AVENUE, MARYSVILLE MI 48040",ST CLAIR,156,64,25
,LOON LAKE ESTATES LLC,"8 CRANE LAKE DRIVE, LINDEN MI 48451",GENESEE,45,72,22
,EAST BAY I MHC LLC,"3075 EAST BAY DRIVE, FENTON MI 48430",GENESEE,75,72,22
,ORION LAKES LLC,"47 BLUEBIRD HILL DRIVE, ORION MI 48359",OAKLAND,423,54,24
,FSI ADMIRALS COVE PROPERTY LLC,"10470 DIXIE HWY, FAIR HAVEN MI 48023",ST CLAIR,114,63,12
,HILLMAN ESTATES LLC,"600 N ELIZABETH STREET, HILLMAN MI 49746",MONTMORENCY,15,106,36
,VILLAGE COURT MHP LLC,"121 S ERIE AVE, THREE RIVERS MI 49093",ST JOSEPH,82,36,17
,RIVER RUN ESTATES MHC LLC,"820 E HOFFMAN STREET, THREE RIVERS MI 49093",ST JOSEPH,52,36,17
MILWOOD ESTATES,MI 2515 CORK ST KALAMAZOO LLC,"2515 CORK ST, KALAMAZOO MI 49001",KALAMAZOO,76,41,19
,FAWN LAKE ESTATES LLC,"831 N PONTIAC TRAIL #91, WALLED LAKE MI 48390",OAKLAND,136,49,13
DEMAWATING DEVELOPMENT RIVERSIDE VILLAGE,SAULT STE MARIE TRIBE OF CHIPPEWA INDIANS,"2210 RIVERSIDE DRIVE, SAULT STE MARIE MI 49783",CHIPPEWA,120,107,37
,LAKE FENTON ESTATES LLC,"11446 HARBOR COVER DRIVE, FENTON MI 48430",GENESEE,134,72,22
,SWARTZ CREEK ESTATES I LLC,"73 ASHLEY CIRCLE, SWARTZ CREEK MI 48473",GENESEE,176,69,27
,CRESTWOOD COMMUNITY LLC,"26235 W WARREN STREET, DEARBORN HEIGHTS MI 48127",WAYNE,198,15,2
,SPRINGBROOK ESTATES I LLC,"71400 VAN DYKE ROAD, ROMEO MI 48065",MACOMB,403,66,24
,PINE RIDGE ACRES LLC,"9348 SILVER LAKE ROAD, LINDEN MI 48451",GENESEE,196,71,22
,SOUTH VALLEY ESTATES LLC,"37 BELLWORD DRIVE, SWARTZ CREEK MI 47473",GENESEE,116,69,27
PEACHTREE MANOR,GROSS PROPERTY VENTURES LLC,"7575 DIXIE HWY, BRIDGEPORT MI 48722",SAGINAW,86,97,26
MONTROSE MOBILE HOME PARK,GROSS PROPERTY VENTURES INC,"7228 W FARRAND ROAD, CLIO MI 48420",GENESEE,50,97,26
,NORTH BAY HARBOR CLUB I LLC,"11567 HERON BAY DRIVE, FENTON MI 48430",LIVINGSTON,94,50,22
LAKE IN THE HILLS MHC,YES COMPANIES EXP KEY LLC,"2700 SHIMMONS ROAD, AUBURN HILLS MI 48326",OAKLAND,238,54,7
SWAN CREEK MHC,YES COMPANIES EXP KEY LLC,"6988 MCKEAN, YPSILANTI MI 48197",WASHTENAW,294,32,15
,COUNTRY PLACE PARK L.L.C.,"4151 E JORDAN ROAD, MT PLEASANT MI 48858",ISABELLA,66,92,34
,SUN SHELBY WEST LLC,"12277 CONSERVATION TRAIL, SHELBY TOWNSHIP MI 48315",MACOMB,644,59,24
,SUGAR TREE MV LLC,"1303 SUGAR TREE CT, CARO MI 48723",TUSCOLA,117,97,25
MILL POND VILLAGE MANUFACTURED HOME COMMUNITY,FR LANSING LLC,"1500 OLD MILL LAND, LANSING MI 48911",INGHAM,356,74,21
,SUN SHELBY FOREST LLC,"13955 BRONTE DRIVE, SHELBY TOWNSHIP MI 48315",MACOMB,664,59,24
BRIDGEPORT MOBILE HOME PARK,GROSS PROPERTY VENTURES INC,"5948 DIXIE HWY, BRIDGEPORT MI 48601",SAGINAW,41,94,26
,CREEKSIDE ESTATES MHC LLC,"5100 CLYDE PARK AVE, WYOMING MI 49509",KENT,165,83,29
VILLAGESIDE MOBILE HOME COMMUNITY,TRACEY MOORE,"999999 RAILROAD STREET, FAIRGROVE MI 48723",TUSCOLA,13,97,26
,FSI CAPITAL CROSSINGS PROPERTY LLC,"13531 DECLARATION COURT, EAGLE MI 48822",CLINTON,278,77,28
,RIDGEVIEW MHC LLC,"705 E 5TH STREET, CLARE MI 48617",CLARE,25,100,34
DIAMOND VILLAGE ESTATES,RONNIE R ROGERS PROPERTIES LLC,"59733 DECATUR ROAD, CASSOPOLIS MI 49031",CASS,50,36,17
GUERNSEY LAKE MHP,DELTON VENTURE LLC,"277 LAKESIDE DRIVE, DELTON MI 49046",BARRY,40,43,18
,FOREST MANISTEE MHP LLC,"1525 S COUNTY LINE ROAD, MANISTEE MI 49660",MASON,75,102,32
HARPER COMMONS MOBILE HOME COMMUNITY,HARPER COMMONS LLC,"993 MICHIGAN AVE E, BATTLE CREEK MI 49014",CALHOUN,163,45,18
,GREENBRIER ESTATES MHP LLC,"11345 SW GREENVILLE ROAD, GREENVILLE MI 48838",MONTCALM,57,91,33
LEE VILLA MOBILE HOME COMMUNITY,LEE VILLA ESTATES LLC,"2985 GADY  ROAD, ADRIAN MI 49221",LENAWEE,113,34,16
,LAKE PARK TRAILER RESORT INC,"2126 LAKESHORE DRIVE, FENNVILLE MI 49408",ALLEGAN,60,38,20
,GLENWOOD ESTATES SPARTA LLC,"1300 GLEN PARK DRIVE, SPARTA MI 49345",KENT,234,90,33
GLADWIN VILLAGE MOBILE HOME PARK,THORNE PROPERTIES INC,"805 N BOWERY, GLADWIN MI 48624",GLADWIN,10,99,34
,MEADOWS OF FARWELL MHC LLC,"551 GRACE STREET, FARWELL MI 48622",CLARE,66,100,34
,LAKE VILLA MHC HOLDINGS LLC,"1700 LAKEVILLA ROAD, OXFORD MI 48371",OAKLAND,851,66,24
,CHALET ESTATES MOBILE PARK INC,"5663 PICKEREL LAKE ROAD, PETOSKEY MI 49770",EMMET,40,107,37
SHERWOOD MOBILE HOME PARK,KALAMAZOO MHP LLC,"1519 OLMSTEAD ROAD #31, KALAMAZOO MI 49048",KALAMAZOO,62,41,19
,COMMERCE RIDGE MANAGEMENT INC,"185 HUNTLEY DRIVE, COMMERCE TWP MI 48390",OAKLAND,42,49,23
,FRIENDLY VILLAGE MHC II LLC,"1100 SOUTH MAIN STREET, ADRIAN MI 49221",LENAWEE,179,34,16
,RIVERVIEW MOBILE HOME COMMUNITY LLC,"2555 HENRY RUFF RD, INKSTER MI 48141",WAYNE,70,26,5
,HOUGHTON LAKE MOUNDS LLC,"130 MOUNDS TRAIL, HOUGHTON LAKE MI 48629",ROSCOMMON,24,105,36
,PINE CREST COMMUNITY LLC,"1168 W BRIDGE STREET, PLAINWELL MI 49080",ALLEGAN,82,42,18
,ELMCREST MOBILE HOME COMMUNITY LLC,"2915 MONTROSE STREET, YPSILANTI MI 48198",WASHTENAW,112,32,15
,MC LEONARD GARDENS PROPERTY LLC,"4524 LEONARD STREET NW, GRAND RAPIDS MI 49534",KENT,323,84,30
PAT'S TRAILER COURT,MCANN TELEGRAPH PROPERTY,"4650 S TELEGRAPH, DEARBORN HEIGHTS MI 48125",WAYNE,50,15,2
WINSLOW PARK,D. VENTURE LLC,"734 W GRAND RIVER AVE, OKEMOS MI 48864",INGHAM,72,75,28
VILLA GRANDE MOBILE HOME PARK,COSMONET VILLA GRANDE LLC,"4403 DAVISON RD, BURTON MI 48509",GENESEE,43,68,27
,CHILDS LAKE ESTATES MHC HOLDINGS LLC,"4377 OLD PLANK ROAD, MILFORD MI 48381",OAKLAND,619,51,23
SHERIDAN PROPERTY MANAGEMENT,DTR PROPERTY MANAGEMENT,"453 E CONDENSERY ROAD, SHERIDAN MI 48884",MONTCALM,26,91,33
,COUNTRY ACRES VILLAGE LLC,"2300 BARNEY RD, KALAMAZOO 49004",KALAMAZOO,320,41,19
,CREEKSIDE ESTATES LLC,"2066 S TELEGRAPH ROAD, BROWNSTOWN TWP MI 48183",WAYNE,157,17,6
,HILLTOP MHC MI LLC,"3750 MAYFIELD AVE ME, GRAND RAPIDS MI 49525",KENT,124,81,30
,ALPINE VILLAGE MHC LLC,"3601 ALPINE DRIVE, MIDLAND MI 48640",MIDLAND,281,95,35
,MANCHESTER MANOR MHC LLC,"101 HIBBARD STREET, MANCHESTER MI 48158",WASHTENAW,116,47,15
,CAVENDER INVESTMENT LLC,"529 EAST MICHIGAN, PARMA MI 49269",JACKSON,11,45,17
PINE COURT MOBILE HOME COMMUNITY,GRAY PROPERTY HOLDINGS LLC,"W BLUE SPRUCE LANE, MCBAIN MI 49657",MISSAUKEE,15,105,36
BEACH VIEW MOBILE HOME PARK,RED JACKET PROPERTIES,"1845 JASBERG ST, HANCOCK MI 49930",HOUGHTON,18,110,38
,SASHABAW MEADOWS OF CLARKSTON LLC,"4359 DOGWOOD BLVD, CLARKSTON MI 48348",OAKLAND,511,66,24
MOON LAKE ESTATES MHP,MOONLAKE LLC,"12700 COLBY LAKE ROAD, LAINGSBURG MI 48848",SHIAWASSEE,103,75,28
,MC WARREN ESTATES PROPERTY LLC,"3051 EAST TEN MILE ROAD, WARREN MI 48091",MACOMB,170,14,3
WOODLAND ESTATES,JAMES GILLIAM,"953 E MONROE ROAD, ST LOUIS MI 48880",GRATIOT,34,92,34
,AXIA PROPERTIES LLC,"2650 STONEY LAKE BLVD, STANTON MI 48888",MONTCALM,14,91,33
,SILVERLAWN MOBILE HOME COMMUNITY LLC,"10891 CEMENT CITY HWY, ADDISON MI 49220",LENAWEE,95,34,16
,THUNDERBIRD MHP LLC,"1145 HARMONIA, SPRINGFIELD MI 49017",CALHOUN,144,44,18
EDISON COURT MHC,EDISON COURT PARTNERS LLC,"2801 GRISWOLD RD, PORT HURON MI 48060",ST CLAIR,64,64,25
MEADOWS MOBILE HOME PARK,UMH MI NORTHTOWNE MEADOWS LLC,"6255 TELEGRAPH RD, ERIE MI 48133",MONROE,386,30,16
,APPLEWOOD MHP LLC,"53425 COUNTY ROAD 687, HARTFORD MI 49057",VAN BUREN,30,39,20
BRIERS TRAILER COURT,MICHAEL BRUNTJENS,"8467 P5 ROAD, GLADSTONE MI 49837",DELTA,10,108,38
WHITEFISH HILL RV PARK AND CAMPGROUND,WHITE FISH HILL INC,"8455 US2, RAPID RIVER MI 49878",DELTA,12,108,38
JACKSON MOBILE HOME PARK,JACKSON MHP LLC,"2240 BROOKLYN ROAD, JACKSON MI 49203",JACKSON,80,47,14
ROBINHOOD ESTATES MOBILE HOME PARK,FREAKY INVESTMENTS LLC,"3180 N ADRIAN HWY, ADRIAN MI 49221",LENAWEE,25,34,16
,CREEKVIEW MHP LLC,"400 N WALNUT, GREENVILLE MI 48838",MONTCALM,84,91,33
LAKESIDE MOBILE COURT,LAKESIDE MHP LLC,"4302 WESTERN RD, FLINT MI 48506",GENESEE,71,70,27
,MAPLE GROVE REAL ESTATE MI LLC,",",ALLEGAN,46,,
PARK LANE COURT,MC WARREN ESTATES PROPERTY LLC,"3193 EAST 10 MILE ROAD, WARREN MI 48091",MACOMB,168,14,3
BAYSIDE MOBILE ESTATES,BUSKER LTD,"3400 10 STREET, MENOMINEE MI 49858",MENOMINEE,97,108,38
RAVINES MHP,RAVINES MHP BENTON HARBOR MI LLC,"2088 EAST EMPIRE AVENUE, BENTON HARBOR MI 49022",BERRIEN,232,38,20
,PARK MEADOWS HOLDINGS LLC,"210 E GILES ROAD, MUSKEGON MI 49445",MUSKEGON,300,87,32
ATHERTON CROSSING MHC,FLINT MH MANAGEMENT LLC,"1549 E ATHERTON ROAD, FLINT MI 48507",GENESEE,190,70,27
CLINTON ESTATES MOBILE HOME COMMUNITY,VM RESIDENTIAL PROPERTIES LLC,"1801 W MICHIGAN AVE, CLINTON MI 49236",LENAWEE,27,34,15
PINES MOBILE HOME PARK,PINES MHP LLC,"3241 N 72ND AVE, HART MI 49420",OCEANA,48,102,32
,ONTARIO PLACE LIMITED PARTNERSHIP,"2006 ONTARIO ROAD, NILES MI 49120",BERRIEN,129,37,17
,SUNDANCE RUSTIC LLC,"19250 STATE LINE ROAD, EDWARDSBURG MI 49112",CASS,70,36,17
BIRCHWOOD MHC,BIRCHWOOD MHP FLINT MI LLC,"4155 WEST CARPENTER ROAD, FLINT MI 48504",GENESEE,82,69,27
GUNTHERS MOBILE HOME COURT,COSMONET-GUNTHERS LLC,"G-63136 N DORT HIGHWAY, MT MORRIS MI 48458",GENESEE,172,67,26
KRISTANA MOBILE HOME PARK,MUSKEGON GROUP LLC,"1110 E COLEMAN ROAD, LANSING MI 48906",CLINTON,154,75,28
,WINDMILL ESTATES LLC,"333 E LAKEWOOD BLVD, HOLLAND MI 49424",OTTAWA,399,86,31
,PASADENA MHC LLC,"2486 BEVERLY, FLINT MI 48504",GENESEE,212,69,27
,WEMI DOGWOOD LLC,"5284 124th AVE, FENNVILLE MI 49408",ALLEGAN,76,43,20
EDGEWOOD MANUFACTURED HOME COMMUNITY,MARETI INVESTMENTS LLC,"7415 WHITEHALL ROAD, MUSKEGON MI 49461",MUSKEGON,65,102,32
,SUGARLOAF MHP LLC,"11443 BONNIE DRIVE, SCHOOLCRAFT MI 49087",KALAMAZOO,57,42,19
COZY CORNER PROPERTY,DORT HWY PROPERTY MANAGEMENT LLC,"5201 N DORT HWY, FLINT MI 48505",GENESEE,43,70,27
,WEMI PHELPS LLC,"56630 89TH AVE, DECATUR MI 49045",VAN BUREN,35,39,20
,LAKEVIEW ESTATES MHC MI LLC,"8499 M-71, DURAND MI 48429",SHIAWASSEE,239,71,28
RIVERVIEW ESTATES OF BAY CITY,BAY EQUITIES LLC,"765 S RIVER ROAD, BAY CITY MI 48708",BAY,197,96,35
B & J MOBILE HOME PARK,SUSAN JARVIS-ORR,"56360 59 1/2 STREET, HARTFORD MI 49057",VAN BUREN,10,39,20
,BRENTWOOD ESTATES MHP LLC,"3477 HURON ROAD, BAY CITY MI 48706",BAY,25,96,35
SUMMERHILL VILLAGE,PLEASANT RIDGE PARTNERS LLC,"5280 S MISSION ROAD, MOUNT PLEASANT MI 48858",ISABELLA,305,92,34
,SUNDANCE-MEADOW LANE LLC,",",ST JOSEPH,115,,
,WEMI HIDDEN VALLEY LLC,"3885 E STAGE ROAD, IONIA MI 48846",IONIA,50,78,33
GARFIELD OAKS,3011 N GARFIELD LLC,"3011 N GARFIELD ROAD, TRAVERSE CITY MI 49686",GRAND TRAVERSE,53,103,37
,MAPLE KNOLL MHP HOLDINGS LLC,"1716 E LANSING ROAD, CHARLOTTE MI 48813",EATON,50,76,21
,KEARSLEY LAKE TERRACE LLC,"3400 BENMARK PLACE, FLINT MI 48506",GENESEE,126,67,26
,CREEKSIDE MANOR MHP LLC,"1655 S REESE ROAD, REESE MI 48757",TUSCOLA,140,97,26
,COUNTRY VILLA MHC LLC,"12919 TIPTON HWY, CLINTON MI 49236",LENAWEE,73,34,16
,YORKSHIRE MANOR OF CARLETON LLC,"1205 YORK BLVD, CARLETON MI 48117",MONROE,280,29,16
,COUNTRY HOLIDAY ESTATES MHC LLC,"43124 M 43, PAW PAW MI 49079",VAN BUREN,59,39,20
,COUNTRY MANOR PARK LLC,"4400 EDGAR ROAD, LESLIE MI 49251",INGHAM,39,73,21
,MAPLE GROVE MHP LLC,"2070 S ALMONT AVE, IMLAY CITY MI 48444",LAPEER,210,65,26
,RIVER'S EDGE OF CLINTON TOWNSHIP LLC,"38000 LECHATEAU BLVD, CLINTON TOWNSHIP MI 48038",MACOMB,1000,61,11
SAGINAW VILLAS MHC,SAGINAW VILLAS MHP SAGINAW MI LLC,"4141 DIXIE HIGHWAY, SAGINAW MI 48601",SAGINAW,472,94,35
,MCM MI LESLIE ESTATES LLC,"714 MILL STREET, LESLIE MI 49251",INGHAM,78,73,21
,MCM MI VILLAGE SQUARE LLC,"875 W GRAND RIVER AVE., #75, WILLIAMSTON MI 48033",INGHAM,99,73,28
THE WOODS AT CRYSTAL LAKE,CRYSTAL LAKE MHC LLC,"6747 ASH DRIVE, BENZONIA MI 49616",BENZIE,47,104,32
STARLIGHT MOBILE HOME PARK,ABC LIVING LLC,"7175 BISHOP ROAD, BRIGHTON MI 48116",LIVINGSTON,48,49,22
,WALTON MANOR MHC MI LLC,"229 E WALTON BLVD, PONTIAC MI 48340",OAKLAND,257,53,7
,KIMBALL ESTATES MHC LLC,"5148 DOVE ROAD, KIMBALL MI 48074",ST CLAIR,68,64,25
NORTHERN TRAILER PARK,TRINITY ENTERPRISE LCC,"6934 LANSING AVE, JACKSON MI 49201",JACKSON,13,45,14
,MEADOW LANE OF TRAVERSE CITY LLC,"4310 MEADOW LANE, TRAVERSE CITY MI 49685",GRAND TRAVERSE,483,103,37
,MCM MI RIVERVIEW LLC,"12481 LONG LAKE ROAD, SPARTA MI 49345",KENT,157,90,33
,WESTBORN VILLAGE LLC,"7659 N INKSTER ROAD, WESTLAND MI 48185",WAYNE,133,25,5
RIVERWOOD,RIVERWOOD MHP LLC,"501 E JEFFERSON STREET, BELLEVUE MI 49021",EATON,50,43,21
,WILDFLOWER PARTNERS LLC,"27 MILE ROAD, ALBION MI 49224",CALHOUN,112,44,17
SUNSET TRAILER VILLAGE,ROYAL GROUP LLC,"28730 GRAND RIVER, FARMINGTON HILLS MI 48336",OAKLAND,22,18,6
,HARRISVILLE MOBILE HOME PARK LLC,"116 WEST CHURCH, HARRISVILLE MI 48740",ALCONA,15,106,36
,VASSAR COMMUNITY PARK LLC,"533 GOODRICH ST, VASSAR MI 48768",TUSCOLA,20,97,26
GREENBRIAR ESTATES MOBILE HOME PARK,COSMONET-GREENBRIAR LLC,"2500 HOLMES ST, YPSILANTI MI 48198",WASHTENAW,111,32,15
NORTHERNAIRE MOBILE ESTATES,AV RENTAL PROPERTIES LLC,"55 RILINGS STREET, GWINN MI 49841",MARQUETTE,115,109,38
INDIANHILLS MANOR MOBILE HOME PARK,COSMONET-INDIANHILLS LLC,"G-6328 NORTH GENESEE ROAD, FLINT MI 48506",GENESEE,429,67,26
,DEQUINDRE ESTATES LLC,"48790 DEQUINDRE ROAD, SHELBY TWP MI 48317",MACOMB,303,59,24
,PORT AUSTIN ESTATES MHC LLC,"1 LARNED ROAD, PORT AUSTIN MI 48467",HURON,36,98,25
SYLVAN LAKE ESTATES MHC,CC SYLVAN LAKE PROPERTY LLC,"451 S TELEGRAPH ROAD, PONTIAC MI 48053",OAKLAND,82,53,7
HILLSIDE MOBILE HOME PARK,BENZIE TWINS INVESTMENTS LLC,"857 GLEN AVE, ELBERTA MI 49628",BENZIE,12,104,32
,JJH PROPERTIES INC,"4897 N ADRIAN HWY, ADRIAN MI 49221",LENAWEE,26,34,16
HAMLET OF HUNTERS CREEK MOBILE HOME PARK,HCMHP COMMUNITY LLC,"11334 120TH AVENUE, RODNEY MI 49342",MECOSTA,50,100,34
,RAVINIA ANCHOR BAY LLC,"5407 ALOHA DRIVE, CASCO MI 48064",ST CLAIR,562,63,25
THE WOODLANDS MANUFACTURED HOME COMMUNITY,WOODLANDS ASSOCIATES LLC,"1441 W ROMEO ROAD, OAKLAND MI 48363",OAKLAND,375,66,24
SHADYLANE ESTATES MHC,CC SHADYLANE PROPERTY LLC,"2709 CAPITOL #92, WARREN MI 48091",MACOMB,270,14,3
POPLARS RESORT,JA SAGER ENTERPRISE LLC,"3000 LAKE PLEASANT RD S, OSSEO MI 43266",HILLSDALE,67,35,16
,TAMARACK MEADOWS HOMES LLC,"9640 N GREENVILLE ROAD, LAKEVIEW MI 48850",MONTCALM,23,91,33
,CC NOMAD PROPERTY LLC,"2701 HUIZENGA SREET, NORTH SHORES MI 49444",MUSKEGON,111,87,32
,CC KENTWOOD PROPERTY LLC,"6122 DIVISION AVE, GRAND RAPIDS MI 49548",KENT,190,79,20
,CC GREEN MEADOW PROPERTY LLC,"6148 DIVISION AVE S, GRAND RAPIDS MI 49548",KENT,156,79,20
,CC SPRINGPORT PROPERTY LLC,"271 GREEN STREET, SPRINGPORT MI 49284",JACKSON,81,45,17
,CC PARK TERRACE PROPERTY LLC,"3435 W SAINT JOSEPH STREET, LANSING MI 48917",INGHAM,158,77,21
ARCADIAN OAKS MHC,CC AVENUE A ARCADIAN PROPERTY LLC,"1301 A AVENUE A, SPRINGFIELD MI 49037",CALHOUN,37,44,18
AVENUE A,CC AVENUE A ACRADIAN PROPERTY LLC,"1267 AVENUE A, SPRINGFIELD MI 49037",CALHOUN,145,44,18
,PINES ESTATES MHC LLC,"865 S VAN DYKE, BAD AXE MI 48413",HURON,40,98,25
VICTORIA WOODS MHP,MIDLAND VICTORIA LLC,"2574 WEST MIDLAND ROAD, MIDLAND MI 48642",BAY,52,97,35
HARRISON MOBILE HOME PARK,FRED KRYMIS,"1820 HAMPTON ROAD, HARRISON MI 48625",CLARE,6,100,34
ROYAL HOLIDAY,CC ROYAL HOLIDAY PROPERTY LLC,"39500 W WARREN ROAD, CANTON MI 48187",WAYNE,436,24,5
HOLIDAY ESTATES MHP,CC HOLIDAY ESTATES PROPERTY LLC,"46000 GEDDES ROAD, CANTON MI 48188",WAYNE,551,25,5
HOLIDAY WEST,CC HOLIDAY WEST PROPERTY LLC,"50333 WILLIS ROAD, BELLEVILLE MI 48111",WAYNE,844,31,4
HOLIDAY WOODS MHC,CC HOLIDAY WOODS PROPERTY LLC,"20749 MARTINSVILLE ROAD, BELLEVILLE MI 48111",WAYNE,321,31,4
HIGHLAND GREENS,SUN HIGHLAND GREENS ESTATES LLC,"2377 N MILFORD ROAD, HIGHLAND MI 48357",OAKLAND,907,51,23
FLUSHING ESTATES,CC FLUSHING ESTATES PROPERTY LLC,"7416 GILLETTE ROAD, FLUSHING MI 48433",GENESEE,280,69,27
SHADY BROOK MOBILE HOME PARK,THREE MILE LAKE MHP LLC,"43910 30TH STREET, PAW PAW MI 49079",VAN BUREN,20,39,20
KINGS COURT ADRIAN MHP,KINGS COURT ADRIAN MHP LLC,"1142 LANSING #3c, ADRIAN MI 49221",LENAWEE,123,34,16
,ROBBINS MHP LLC,"3300 ELIZABETH LAKE ROAD, WATERFORD MI 48328",OAKLAND,142,53,23
